City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
303,Kirakira,SB,82.99,overcast clouds,-10.4544,161.9205,SanBiz Lodge
304,Palu,ID,88.3,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
305,Baraboo,US,77.14,scattered clouds,43.4711,-89.7443,Thunderbird Motor Inn
306,Jiaojiang,CN,70.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
312,Sao Jose Da Coroa Grande,BR,74.84,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
313,Zhuhai,CN,80.85,thunderstorm with light rain,22.2769,113.5678,珠海粤财假日酒店
314,Tahoua,NE,81.93,clear sky,14.8888,5.2692,Bungalows Guesthouse
315,Karratha,AU,82.44,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
317,Namibe,AO,72.39,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
323,Urgut,UZ,71.22,few clouds,39.4022,67.2431,Xursandov Abdullo xonadoni
324,Simao,CN,76.5,overcast clouds,22.7886,100.9748,Changyu Hotel
327,Arecibo,PR,80.01,overcast clouds,18.4724,-66.7157,Atlantic Sand Oasis
328,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
332,Dodge City,US,74.23,broken clouds,37.7528,-100.0171,Windsor Inn & Suites
334,Yeppoon,AU,74.98,heavy intensity rain,-23.1333,150.7333,Villa Mar Colina
336,Grand Island,US,77.38,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
337,Atar,MR,83.16,few clouds,20.5169,-13.0499,Oumou Elghoura
349,Sarh,TD,83.8,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
352,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
353,Sainte-Suzanne,RE,83.46,clear sky,-20.9061,55.6089,Gites Ango
357,Pamekasan,ID,86.13,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
363,Hobyo,SO,87.24,broken clouds,5.3505,48.5268,Iftin hotel hobyo
365,Kendari,ID,84.0,overcast clouds,-3.945,122.4989,Hotel Wixel
369,Fort Myers Beach,US,71.06,clear sky,26.452,-81.9481,Lani Kai Island Resort
370,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
372,Bac Lieu,VN,89.49,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
379,Bako,ET,73.24,light rain,5.7833,36.5667,Goh Hotel
380,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
383,Dharchula,IN,80.29,broken clouds,29.85,80.5333,Mahara Hotel
384,Itarema,BR,76.55,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
385,Gerash,IR,88.52,clear sky,27.6652,54.1371,Sa'adat House Gerash
387,Sinnamary,GF,77.05,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
390,Saint-Georges,GD,79.14,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
409,Stephenville,US,77.86,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
410,Antalaha,MG,80.58,clear sky,-14.9003,50.2788,Hotel Vitasoa
411,Mattru,SL,75.92,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
416,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
418,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
419,Gazanjyk,TM,71.35,overcast clouds,39.2446,55.5154,Railway motel
421,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
424,Vila Velha,BR,70.9,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
425,Novo Aripuana,BR,76.82,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
427,Jeremie,HT,77.13,overcast clouds,18.65,-74.1167,Auberge’Inn
431,Negombo,LK,89.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
433,Soubre,CI,73.38,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
